City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,90,US,1508979360,86,42.1,-79.24,44.6,8.05
1,hermanus,92,ZA,1508982239,95,-34.42,19.23,48.84,4.79
2,mouila,80,GA,1508982425,98,-1.87,11.06,72.46,2.39
3,hilo,90,US,1508980200,83,19.73,-155.09,80.6,4.29
4,mataura,0,IN,1508982243,41,27.5,77.68,76.96,2.51
5,touros,92,BR,1508982377,99,-5.2,-35.46,75.75,14.92
6,avarua,40,CK,1508979600,57,-21.21,-159.78,78.8,8.05
7,thompson,90,CA,1508979600,86,55.74,-97.86,28.4,8.05
8,kavieng,32,PG,1508982284,100,-2.57,150.8,81.87,4.23
9,castro,88,BR,1508982252,98,-24.79,-50.01,60.18,3.56
10,olafsvik,12,IS,1508982337,100,64.89,-23.71,43.08,8.1
11,lorengau,20,PG,1508982282,100,-2.02,147.27,82.99,1.39
12,rocha,12,UY,1508982336,87,-34.48,-54.33,63.33,7.92
13,lebu,80,CL,1508982241,100,-37.62,-73.65,52.48,13.58
14,port alfred,92,ZA,1508982245,93,-33.59,26.89,60.94,15.19
15,ilulissat,92,GL,1508979000,74,69.22,-51.1,35.6,6.93
16,tsihombe,48,MG,1508982311,96,-25.3,45.48,65.44,3.62
17,yellowknife,20,CA,1508979600,94,62.46,-114.35,32.0,5.82
18,krasnoselkup,92,RU,1508982426,94,65.7,82.47,33.04,21.63
19,vaini,75,TO,1508979600,74,-21.2,-175.2,80.6,8.05
20,kloulklubed,90,PW,1508979000,88,7.04,134.26,78.8,10.29
21,quelimane,0,MZ,1508979600,69,-17.88,36.89,75.2,9.17
22,sao gabriel da cachoeira,24,BR,1508982427,92,-0.13,-67.09,76.69,2.1
23,ushuaia,40,AR,1508979600,64,-54.8,-68.3,39.2,24.16
24,chokurdakh,48,RU,1508982279,78,70.63,147.92,-0.71,7.02
25,longyearbyen,75,SJ,1508979000,73,78.22,15.64,24.8,6.93
26,ancud,92,CL,1508982428,99,-41.87,-73.82,48.34,3.22
27,itoman,20,JP,1508979600,50,26.12,127.67,78.8,13.87
28,mendahara,68,ID,1508982429,88,-1.03,103.58,81.69,3.62
29,kapit,76,MY,1508982429,84,2.02,112.93,80.16,2.89
30,katsuura,20,JP,1508979600,63,35.13,140.3,62.6,4.7
31,kingisepp,92,RU,1508982429,72,59.37,28.61,29.13,12.17
32,itarema,0,BR,1508982430,82,-2.88,-39.95,78.94,15.59
33,georgetown,75,GY,1508979600,100,6.8,-58.16,77.0,4.7
34,rikitea,0,PF,1508982244,98,-23.12,-134.97,72.42,5.08
35,luderitz,0,NA,1508982370,83,-26.65,15.16,57.57,19.73
36,troitskoye,80,RU,1508982430,77,52.98,84.68,31.02,8.25
37,punta arenas,0,CL,1508979600,100,-53.15,-70.92,41.0,11.41
38,tarata,75,BO,1508979600,39,-17.62,-66.02,66.2,5.82
39,kapaa,75,US,1508979360,54,22.08,-159.32,80.6,14.99
40,arraial do cabo,68,BR,1508981960,93,-22.97,-42.03,70.93,16.64
41,albany,75,US,1508979240,76,42.65,-73.76,55.4,3.36
42,lagoa,24,PT,1508982265,100,39.05,-27.98,66.66,20.67
43,maragogi,92,BR,1508982268,91,-9.01,-35.22,75.57,7.65
44,saint george,1,US,1508979360,12,37.1,-113.58,75.2,2.1
45,qaanaaq,80,GL,1508982282,95,77.48,-69.36,25.98,10.33
46,ucluelet,5,CA,1508979600,82,48.93,-125.55,55.4,1.72
47,haines junction,68,CA,1508982367,69,60.75,-137.51,34.08,10.89
48,muros,75,ES,1508981400,87,42.78,-9.06,57.2,9.17
49,butaritari,0,KI,1508982262,100,3.07,172.79,83.22,14.14
50,khatanga,68,RU,1508982294,91,71.97,102.5,21.88,12.62
51,pisco,0,PE,1508979600,82,-13.7,-76.22,62.6,8.05
52,taolanaro,20,MG,1508979600,88,-25.02,46.97,73.4,11.41
53,burnie,0,AU,1508982432,100,-41.07,145.92,55.59,9.15
54,kaitangata,76,NZ,1508982292,76,-46.23,169.75,52.71,22.97
55,abu jubayhah,0,JO,1508979600,58,31.96,35.95,57.2,1.54
56,belushya guba,88,RU,1508982344,94,69.71,60.05,36.33,25.88
57,torbay,90,CA,1508981940,100,47.67,-52.73,42.8,6.93
58,whitefish,90,US,1508979300,54,48.41,-114.34,55.4,9.17
59,mar del plata,75,AR,1508979600,72,-38.0,-57.56,60.8,13.87
60,carthage,20,TN,1508981400,72,36.86,10.33,64.4,9.17
61,palabuhanratu,100,ID,1508982275,100,-6.95,106.49,78.72,11.68
62,cuxhaven,75,DE,1508980800,93,53.87,8.69,51.8,12.75
63,tiksi,76,RU,1508982258,78,71.69,128.87,8.61,15.41
64,ereymentau,88,KZ,1508982433,87,51.62,73.11,27.91,9.93
65,severo-kurilsk,64,RU,1508982264,97,50.68,156.12,39.93,22.35
66,okhotsk,88,RU,1508982290,100,59.38,143.3,31.29,8.55
67,port macquarie,36,AU,1508979600,69,-31.43,152.92,77.0,8.05
68,khonuu,64,RU,1508982434,79,64.57,143.2,3.75,2.62
69,ambovombe,8,MG,1508982434,99,-25.17,46.08,67.51,3.33
70,balkanabat,12,TM,1508982435,88,39.51,54.37,41.23,2.84
71,beloye,76,UA,1508982435,100,48.5,39.05,32.46,7.09
72,chinsali,0,ZM,1508982436,71,-10.54,32.08,66.21,7.14
73,mys shmidta,80,UA,1508982243,86,47.75,38.03,33.76,7.81
74,karaul,64,RU,1508982321,91,58.31,48.35,22.69,4.12
75,chuy,0,UY,1508982269,84,-33.7,-53.46,65.08,14.18
76,tilichiki,0,RU,1508982436,95,60.47,166.1,9.73,4.41
77,lata,0,PT,1508979600,93,40.16,-8.33,59.0,3.36
78,bubaque,0,GW,1508982437,97,11.28,-15.83,85.47,10.94
79,ponta delgada,40,PT,1508981400,72,37.73,-25.67,66.2,12.75
80,atuona,8,PF,1508982260,100,-9.8,-139.03,80.07,9.82
81,saint-philippe,0,RE,1508979600,68,-21.36,55.77,73.4,5.82
82,mali,8,GN,1508982438,85,12.08,-12.3,65.26,2.21
83,cape town,40,ZA,1508979600,71,-33.93,18.42,51.8,5.82
84,fort-shevchenko,20,KZ,1508982438,100,44.51,50.26,53.52,12.68
85,nizhneyansk,90,RU,1508979600,92,55.64,51.82,26.6,4.47
